CRIS_No,Event_Key,Events_date,Modality,NHS_No,forenames,surname,DOB,Age_at_Exam,examination,examcd_name,Pat_Type,Site,referrer,referer_name,referal_source,refsrc_name,clinical_history,report_type,Report
52,585,11/09/2018,U,939 888 888,CHRISTOPHER,MITCHELL,12/08/1985,33,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710845,LANSDOWN MRJ,RR852,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the neck and thyroid gland reveals absence of thyroid tissue due to previous total thyroidectomy. No residual nodules or abnormal lymph nodes are observed. These findings are consistent with the patient's post-surgical status, indicating successful removal of the thyroid gland."
53,954,24/05/2016,U,940 888 888,SAMANTHA,PEREZ,18/02/1993,23,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710846,LANSDOWN MRJ,RR853,LEEDS GENERAL INFIRMARY,pre-op planining,S,The patient has a history of thyroid lobectomy. Ultrasound evaluation of the remaining thyroid tissue reveals a solitary solid nodule measuring 1.8 cm in the left lobe. The nodule exhibits hypoechoic echotexture with irregular margins and increased vascularity. No abnormal lymph nodes are identified. Clinical correlation and further evaluation are recommended to assess for recurrence or new pathology.
54,262,08/01/2019,U,941 888 888,ZACHARY,ROBERTS,09/07/1976,42,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710847,LANSDOWN MRJ,RR854,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the neck and thyroid bed following demonstrates absence of thyroid tissue. No nodules or abnormal lymph nodes are identified. These findings are consistent with the patient's postoperative status, indicating a successful thyroidectomy without evidence of residual disease or recurrence."
55,834,27/08/2017,U,942 888 888,KELLY,TURNER,28/12/1980,36,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710848,LANSDOWN MRJ,RR855,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The patient underwent subtotal thyroidectomy previously. Ultrasound evaluation of the remaining thyroid tissue shows multiple nodules, the largest measuring 2.1 cm in the right lobe. The nodules display variable echogenicity and irregular margins. No abnormal lymph nodes are observed. Further characterization with fine-needle aspiration and clinical correlation is advised."
56,600,14/03/2020,U,943 888 888,JACOB,PHILLIPS,15/06/1990,29,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710849,LANSDOWN MRJ,RR856,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the neck and thyroid gland in a patient with previous thyroid surgery reveals absence of thyroid tissue. No residual nodules or abnormal lymph nodes are detected. These findings are consistent with the patient's post-surgical status, indicating successful removal of the thyroid gland without evidence of residual disease."
57,977,04/10/2019,U,944 888 888,BRITTANY,CAMPBELL,20/10/1955,64,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710850,LANSDOWN MRJ,RR857,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The patient has a history of thyroid surgery. Ultrasound evaluation of the neck demonstrates absence of thyroid tissue. No residual nodules or abnormal lymph nodes are visualized. These findings are consistent with the patient's post-surgical status, indicating a successful thyroid surgery without evidence of residual disease."
58,630,19/07/2018,U,945 888 888,JORDAN,EVANS,02/03/1981,37,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710851,LANSDOWN MRJ,RR858,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound examination of the neck and thyroid gland in a patient with a history of thyroid surgery reveals a solitary solid nodule measuring 1.6 cm in the left lobe. The nodule exhibits hypoechoic echotexture with irregular margins and increased internal vascularity. No abnormal lymph nodes are observed. Fine-needle aspiration and clinical correlation are recommended to determine the nature of the nodule and exclude recurrence.
59,398,27/01/2021,U,946 888 888,JESSICA,PARKER,09/11/1969,51,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710852,LANSDOWN MRJ,RR859,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The patient underwent total thyroidectomy previously. Ultrasound evaluation of the neck shows absence of thyroid tissue. No residual tissue and no abnormal lymph nodes are identified. These findings are consistent with the patient's post-surgical status, indicating successful removal of the thyroid gland without evidence of residual disease."
60,734,12/08/2020,U,947 888 888,ALEXIS,MORRIS,04/05/1987,33,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710853,LANSDOWN MRJ,RR860,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid and parathyroid glands reveals a normal-sized thyroid with homogeneous echotexture and no significant nodules. Additionally, a parathyroid adenoma measuring 1.2 cm is identified adjacent to the lower pole of the right thyroid lobe. The adenoma exhibits isoechoic echotexture and well-defined margins. No abnormal lymph nodes are observed in the neck. Further evaluation with parathyroid hormone (PTH) levels and consultation with an endocrinologist is recommended to assess parathyroid function and determine appropriate management."
61,884,05/03/2018,U,948 888 888,JASON,JAMES,17/09/1972,45,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710854,LANSDOWN MRJ,RR861,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid ultrasound demonstrates a normal-sized thyroid gland with homogeneous echotexture and no significant nodules. In the lower pole of the left thyroid lobe, an incidental parathyroid adenoma measuring 1.4 cm is detected. The adenoma exhibits hypoechoic echotexture and well-defined margins. No abnormal lymph nodes are identified in the neck. Given the incidental finding of the parathyroid adenoma, referral to an endocrinologist for further evaluation, including calcium and parathyroid hormone (PTH) levels, is recommended to assess parathyroid function and determine the need for intervention."
